plant,equipment_name,technical_id,process,master_data_name,location,immobilization_number,serial_number,year,equipment_commercialized,pdr_commercialized,age,degradability,production_hours,hp_coefficient,replacement_parts,maintenance_mttr_mtbf,technology,aging_result,equipment_status,physical_status,Rul
LTN3B,ulmer SM 15,ET00000286,Cutting Machine Tube,Ulmer--SM 15/2P,CuttingWirePreparation,immo894875,9063,2008,TRUE,TRUE,17,0.7,5107,1,0,0,0,0.52,Moyen,Moyen,4
LTN3B,alpha 355,ET00000198,Cutting Machine Wire < 6mm2,Komax--Alpha 355,CuttingWirePreparation,4141150502,2622,2015,FALSE,TRUE,10,0.4,5107,1,0,0,1,0.39,Bon,Bon,8
LTN3B,gamma 333,ET00000311,Cutting Machine Wire < 6mm2,Komax--Gamma 333,CuttingWirePreparation,2141230701,1978,2011,FALSE,TRUE,14,0.4,5107,1,0,0,1,0.39,Bon,Bon,7
LTN3B,HSGM,ET00000183,Cutting Machine Hot,HSGM--HSG-G2S,CuttingWirePreparation,2141050303,205112,2005,TRUE,TRUE,20,0.7,5107,1,0,0,0,0.52,Moyen,Besoin Upgrade,6
LTN3B,HSGM,ET00000183,Cutting Machine Hot,HSGM--HSG-G2S,CuttingWirePreparation,2141200801,620275,2020,TRUE,TRUE,5,0,5107,1,0,0,0,0.1,Excellent,Excellent,15
LTN3B,alpha 355 S,ET00000199,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,CuttingWirePreparation,2141110304,771,2011,FALSE,TRUE,14,0.4,5107,1,0,0,1,0.39,Bon,Bon,4
LTN3B,alpha 355 S,ET00000199,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,CuttingWirePreparation,2141150601,2620,2015,FALSE,TRUE,10,0.4,5107,1,0,0,1,0.39,Bon,Bon,13
LTN3B,alpha 355 S,ET00000199,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,CuttingWirePreparation,2141081102,875,2011,FALSE,TRUE,14,0.4,5107,1,0,0,1,0.39,Bon,Bon,7
LTN3B,alpha 355 S,ET00000199,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,CuttingWirePreparation,2141110302,772,2011,FALSE,TRUE,14,0.4,5107,1,0,0,1,0.39,Bon,Bon,3
LTN3B,alpha 355 S,ET00000199,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,CuttingWirePreparation,2141120211,1128,2012,FALSE,TRUE,13,0.4,5107,1,0,0,1,0.39,Bon,Bon,7
LTN3B,alpha 355 S,ET00000199,Cutting Machine Wire < 6mm2,Komax--Alpha 355 S,CuttingWirePreparation,2141120210,1127,2012,FALSE,TRUE,13,0.4,5107,1,0,0,1,0.39,Bon,Bon,4
LTN3B,alpha 433 S,ET00000222,Cutting Machine Wire < 6mm2,Komax--Alpha 433 S,CuttingWirePreparation,2141010701,698,2001,FALSE,FALSE,24,1,5107,1,1,0,1,0.95,Besoin Upgrade,Besoin Upgrade,0
LTN3B,alpha 433 ,ET00000204,Cutting Machine Wire < 6mm2,Komax--Alpha 433,CuttingWirePreparation,2141030405,909,2002,FALSE,FALSE,23,1,5107,1,1,0,1,0.95,Besoin Upgrade,Besoin Upgrade,1
LTN3B,alpha 433 S,ET00000222,Cutting Machine Wire < 6mm2,Komax--Alpha 433 S,CuttingWirePreparation,2141000906,115,1998,FALSE,FALSE,27,1,5107,1,1,0,1,0.95,Besoin Upgrade,Besoin Upgrade,0
LTN3B,gamma 333,ET00000311,Cutting Machine Wire < 6mm2,Komax--Gamma 333,CuttingWirePreparation,214108716,3086,2008,FALSE,TRUE,17,0.7,5107,1,0,0,1,0.57,Moyen,Moyen,0
LTN3B,gamma 333,ET00000311,Cutting Machine Wire < 6mm2,Komax--Gamma 333,CuttingWirePreparation,21411120601,3812,2011,FALSE,TRUE,14,0.4,5107,1,0,0,1,0.39,Bon,Bon,3
LTN3B,gamma 333,ET00000311,Cutting Machine Wire < 6mm2,Komax--Gamma 333,CuttingWirePreparation,2141080714,3084,2008,FALSE,TRUE,17,0.7,5107,1,0,0,1,0.57,Moyen,Moyen,0
LTN3B,gamma 333,ET00000311,Cutting Machine Wire < 6mm2,Komax--Gamma 333,CuttingWirePreparation,4141071104,2292,2005,FALSE,TRUE,20,0.7,5107,1,0,0,1,0.57,Moyen,Moyen,2
